stage,model,use_log,val_MAE,val_RMSE,train_seconds,hidden,layers,lr,batch_size,channels,levels,k_daily,k_weekly,order
baseline,seasonal_naive,False,294.89422608935644,525.493489002641,0.0,,,,,,,,,
1-transform,lstm,False,111.405427266681,154.4913085465205,109.6,64.0,2.0,,,,,,,
1-transform,lstm,True,117.93021725851392,178.96445940834144,58.23,64.0,2.0,,,,,,,
2-capacity,lstm,False,108.7502801683214,156.65270413557153,24.39,32.0,1.0,,,,,,,
2-capacity,lstm,False,108.76603047809904,157.11005523844844,47.26,64.0,1.0,,,,,,,
2-capacity,lstm,False,111.405427266681,154.4913085465205,109.04,64.0,2.0,,,,,,,
2-capacity,lstm,False,115.65733855111259,161.65725713283024,72.03,128.0,1.0,,,,,,,
3-optimiser,lstm,False,107.98194597637843,160.38662509201865,24.72,32.0,1.0,0.0003,64.0,,,,,
3-optimiser,lstm,False,120.54844556535993,179.72122693504636,22.71,32.0,1.0,0.0003,256.0,,,,,
3-optimiser,lstm,False,110.10817670065259,158.2875205192571,12.79,32.0,1.0,0.001,64.0,,,,,
3-optimiser,lstm,False,106.61394494677347,157.33194174528498,22.53,32.0,1.0,0.001,256.0,,,,,
3-optimiser,lstm,False,107.32729021708171,155.01574086299092,11.42,32.0,1.0,0.003,64.0,,,,,
3-optimiser,lstm,False,108.23531347607809,154.63910631626848,16.74,32.0,1.0,0.003,256.0,,,,,
1-transform,tcn,False,100.5222911531963,146.30630961985835,67.7,,,,,32.0,6.0,,,
1-transform,tcn,True,102.92251347738599,155.87769280961075,41.64,,,,,32.0,6.0,,,
2-capacity,tcn,False,102.00384049188523,152.18735082446014,15.77,,,,,16.0,4.0,,,
2-capacity,tcn,False,103.48173032488141,155.08151442360315,24.12,,,,,32.0,4.0,,,
2-capacity,tcn,False,100.5222911531963,146.30630961985835,67.65,,,,,32.0,6.0,,,
2-capacity,tcn,False,106.2526753137982,151.6862433619011,54.13,,,,,64.0,5.0,,,
3-optimiser,tcn,False,102.46748421684144,147.25443175962977,60.92,,,0.0003,64.0,32.0,6.0,,,
3-optimiser,tcn,False,103.60545642792232,148.54713200600477,45.82,,,0.0003,256.0,32.0,6.0,,,
3-optimiser,tcn,False,104.00395423646957,149.74778446988424,26.66,,,0.001,64.0,32.0,6.0,,,
3-optimiser,tcn,False,103.6083498757983,149.28990611239496,46.22,,,0.001,256.0,32.0,6.0,,,
3-optimiser,tcn,False,101.73986501542349,149.69295042564931,24.92,,,0.003,64.0,32.0,6.0,,,
3-optimiser,tcn,False,99.74677818540543,147.9825213713783,44.93,,,0.003,256.0,32.0,6.0,,,
1-transform,seasonal_arimax,False,102.20418430170614,152.4765748132305,9.94,,,,,,,5.0,2.0,"(2, 0, 1)"
1-transform,seasonal_arimax,True,101.67031148140389,156.60535104794857,9.25,,,,,,,5.0,2.0,"(2, 0, 1)"
2-structure,seasonal_arimax,True,118.25641433363855,185.04997603909538,1.32,,,,,,,3.0,2.0,"(1, 0, 0)"
2-structure,seasonal_arimax,True,101.47454540511599,156.52446722979346,6.35,,,,,,,3.0,2.0,"(2, 0, 1)"
2-structure,seasonal_arimax,True,101.1295366464596,156.0819194836746,9.08,,,,,,,3.0,2.0,"(3, 0, 1)"
2-structure,seasonal_arimax,True,118.53301626574516,185.4631423011311,1.82,,,,,,,5.0,2.0,"(1, 0, 0)"
2-structure,seasonal_arimax,True,101.67031148140389,156.60535104794857,9.25,,,,,,,5.0,2.0,"(2, 0, 1)"
2-structure,seasonal_arimax,True,101.46300993944301,156.1412469217587,11.16,,,,,,,5.0,2.0,"(3, 0, 1)"
2-structure,seasonal_arimax,True,118.60975372693377,185.51077933364357,2.41,,,,,,,8.0,2.0,"(1, 0, 0)"
2-structure,seasonal_arimax,True,101.69630690879501,156.61869089877223,11.69,,,,,,,8.0,2.0,"(2, 0, 1)"
2-structure,seasonal_arimax,True,101.5548079816749,156.17937438525692,13.56,,,,,,,8.0,2.0,"(3, 0, 1)"
